	kainoki_id	first_half	connective	second_half	classification_label	ASP	NEG	MOD	CNJ	FOC	QUE	IMP
68	40_essay_omnividens_Ihara2004	かつて 訪れ た とき に は 写真撮影 が 禁止 さ れ て い て ， コペルニクス の 提言 によって 作ら れ た ジグムント貨幣 の 写真 を 撮る こと が でき なかっ た ので ， 埃 を 払っ て 貨幣 の 写真 を 撮っ て いる と 館員 が 近寄っ て き て ， 立派 な 例の 複製品 の 方 の 写真 こそ 撮る べき で ， そんな	ところ	で 何 を し て いる の か と 叱ら れ て しまい まし た ．	location	0	0	0	0	0	1	0
69	21_essay_tosanikki_20160903	やがて 月 の 距離 が 現在 の 約１．５ 倍 、 公転 ・ 自転 の 周期 が 約４０ 日 に なっ た	ところ	で 変化 が 止まる と 考え られ て い ます 。	temporal	0	0	0	0	0	0	0
70	14_essay_tosanikki_20170401	タヒチ で は 、 ゴーギャン の 有名 な 「 我々はどこから来たのか、我々は何者か、我々はどこへ行くのか 」 の 複製画 とともに 、 この 題名 を いろいろ な	ところ	で 目 に し まし た 。	location	0	0	0	0	0	0	0
71	22_essay_tosanikki_20190202	私 の 目 に は 、 晩年 を オリオン座 で 過ごそ う と 旅 し て き た よう に 見え ます が 、 もし さらに １００万 年 長生き し た と する と 、 オリオン座 を 通り過ぎ た	ところ	で 漂泊 の 人生 を 終わる こと に なり ます 。	location	0	0	0	0	0	0	0
72	418_fiction_DICK-1952	ただし 我々 が 立っ て いる ここ 以外 の	ところ	で 、 だ が ね 。	location	0	0	0	0	0	0	0
73	709_fiction_DICK-1952	都市 から はるか かなた 100 マイル 離れ た 位置 、 地下深い	ところ	で 別 の 警告ライト が 光っ た 。	location	0	0	0	0	0	0	0
74	106_fiction_kanojotachino_Christmas	父 の こと を 思っ た	ところ	で ─ ─ お金 が 増える わけ で も ない 。	concession	0	1	0	0	1	0	0
75	731_fiction_mirai_e_no_okurimono	スナイデルさん は 、 機体 に 何 が 起ころ う と も 時計 の 針 が 午前 7 時 19 分 30 秒 を 指し た	ところ	で 、 後部ハッチ を 開け て ください 。	temporal	0	0	0	0	0	0	1
76	44_fiction_Monta_the_monkey	モン太 力 を いっぱい 入れ て ダッ と ひっぱっ たら 、 しっぽ が ブツッ と 切れ て 、 ダダダダッ と 前 に つんのめっ て 石 に バンッ と 顔 を ぶつけ て 、 ドッ と ひっくり返っ て ズズズズッ と 尻 を こすっ た	ところ	で 、 モン太 は 顔 を 赤く 腫れ させ て 、 尻 といえば 赤く 擦り切れ て しまっ て 、 しっぽ も 切れ て 「 わー 痛い よ 。 わー 痛い よ 痛い よ 。 」 と 、 泣き ながら 岩木 の 山 に 戻っ て 行っ た と 。	temporal	0	0	0	0	0	0	0
77	59_fiction_Monta_the_monkey	それを モン太 は 、 いつも 遊びまわっ て ばかり い て 、 おまけに 他 の なわばり を 荒らし た	ところ	で 、 罰 が 当たっ た の でしょう 。	temporal	0	0	1	0	0	0	0
78	162_fiction_munashisanoshotai	しかも それ を 聞い た	ところ	で 全く 疑念 は 解消 さ れ ない 。	concession	0	1	0	0	0	0	0
79	233_fiction_munashisanoshotai	静か な	ところ	で 一緒 に 食べる ため 。	location	0	0	0	0	0	0	0
80	236_fiction_munashisanoshotai	人 の 多い	ところ	で は 決して 彼女 を 見 て くれ なかっ た 彼 が 突如 彼女 を 振り返っ た ので 、 頬 が 緩ん で いる の が ばれ て しまっ た 。	location	0	0	0	0	0	0	0
81	335_fiction_munashisanoshotai	…… 主人公 に は 病死 し た 元恋人 が い た ん だ けど 、 新しい 恋人 と いざ スタート し よう と し た	ところ	で 、 …… 主人公 も 死ん で しまっ た 」	temporal	0	0	0	0	0	0	0
82	448_fiction_munashisanoshotai	「 そもそも 奪わ れ た	ところ	で 、 そんな に すぐ 立ち直れ ない でしょ 」	concession	0	1	1	0	0	0	0
83	503_fiction_onna_to_senso	先祖代々 の 土地 を 売り渡し て おい て 、 いまさら 自動車 で ゲート の 中 の 御獄 を 拝ん で まわっ た	ところ	で 、 何 が 信仰 です か 」	concession	0	0	0	0	0	1	0
84	1185_fiction_onna_to_senso	しかし 、 いくら 怒っ て み た	ところ	で 状況 が 大きく 変わる もの で は ない 。	concession	0	1	0	0	1	0	0
85	29_fiction_POTTER-1902	マクレガーさん は ざる を 持っ て やってき 、 ピーター の 頭 から すっぽり 被せ よう と し まし た が 、 ピーター は 寸で の	ところ	で 、 マクレガーさん の 攻撃 から すりぬけ まし た 。	temporal	0	0	0	0	0	0	0
86	67_fiction_POTTER-1902	マクレガーさん は 曲がり角 の	ところ	で 、 ピーター の 姿 を 捉え まし た が 、 ピーター は かまわ ず 、 走り 続け まし た 。	location	0	0	0	0	0	0	0
87	74_fiction_SAINT-EXUPERY-1943	人 の 住む 場所 から 千 マイル も 離れ た	ところ	で 、 死 の 危険 に あっ て いる 時 に 、 羊 の 絵 を 描く なんて ばかばかしく 思え た が 、 僕 は ポケット から 紙 と 万年室 を 取り出し た 。	location	0	0	0	0	0	0	0
88	88_fiction_SAINT-EXUPERY-1943	僕 の 住ん で いる	ところ	で は 、 なん でも みんな 小さい ん だ よ 。	location	1	0	0	0	0	0	0
89	44_fiction_sakurasakuanobashode	しかし 、 驚い た	ところ	で 状況 は 何 も 変わら なかっ た 。	concession	0	1	0	0	0	0	0
90	58_fiction_sakurasakuanobashode	住む 場所 を 提供 し て くれ と 頼っ た	ところ	で 「 はい そう です か 、 どうぞ 」 なんて 言う 訳 が ない 。	concession	0	0	0	0	0	0	0
91	92_news_KAHOKU_46;K201403110A0T30XX00001	反対側 に 抜け出 た	ところ	で 驚き まし た 。	temporal	0	0	0	0	0	0	0
92	81_news_KAHOKU_97;K201402230A0T20XX00001	紙面イメージ は 、 一 度 ダウンロード すれ ば 電波 の 届か ない	ところ	で も 閲覧 が 可能 。	location	0	0	0	0	0	0	0
93	85_ted_talk_5	TED も 含め て いたる	ところ	で 私 が 感じる の は 人々 が 何 か し なけれ ば なら ない という 想い が 膨らみ つつ ある こと です	location	0	0	0	0	0	0	0
94	177_ted_talk_10	これ は 彼女 の プロジェクト の １ つ で ｢ 見 て い ない	ところ	で 芸術作品 が する こと ｣ です	location	0	0	0	0	0	0	0
95	129_textbook_djg_advanced;page_142	この 問題 を いまさら 議論 し た	ところ	で 無意味 でしょう 。	concession	0	0	1	0	0	0	0
96	367_textbook_djg_advanced;page_423	彼 は 日本語 を ２０ 年 も 勉強 し て いる が 、 その 彼 に し た	ところ	で 、 まだ 分から ない 文法 に 時々 出くわす そう だ 。	concession	0	0	1	0	0	0	0
97	402_textbook_djg_intermediate;page_452	どんな に 低く 見積もっ た	ところ	で 、 工費 は 五億 円 を 超える だろう 。	concession	0	0	1	0	0	0	0
98	1066_textbook_particles;tokorode_page_215	嘆い て み た	ところ	で 、 なくし た ビデオカメラ は 戻っ て は 来 ない さ 。	concession	0	1	0	0	1	0	0
99	1067_textbook_particles;tokorode_page_216	今 電話 し た	ところ	で 、 彼 は まだ 留守 でしょう 。	concession	0	0	1	0	0	0	0
100	120_textbook_purple_intermediate;page_36	犬 が フリスビー を つかまえる	ところ	で 、 映画 が 終わり まし た 。	temporal	0	0	0	0	0	0	0
101	232_whitepaper_H20_kokuminseikatsu1	日本 で の フェアトレード製品 の 認知度 が 低い こと に は 、 欧米 に比べ フェアトレード表示 が 付さ れ た 商品数 が まだまだ 限ら れ て いる こと や 小売店 など 消費者 の 目 に つき やすい	ところ	で 販売 さ れ て い ない こと が 関係 し て いる と 思わ れる 。	location	0	0	0	0	0	0	0
102	53_whitepaper_R1_gaiko_14	日本人 又は 不法滞在外国人 が 、 不正取得 し た 他人名義旅券 を 使っ て 出入国 する 例 が 見 られる ほか 、 名義人 の 知ら ない	ところ	で 金融機関 に 借金 を し たり 、 他 の 犯罪 を たくらむ 者 に 売り渡す 目的 で 銀行口座 が 開設 さ れ たり 、 携帯電話 が 契約 さ れる など の 事例 が 報告 さ れ て いる 。	location	0	0	0	0	0	0	0
103	114_whitepaper_R1_gaiko_14	空港 の 海外旅行保険 の	ところ	で うろうろ し て いる 人 とか よく 見 ます よ ね 。	location	0	0	0	0	0	0	0
104	92_whitepaper_R2_bousai_1	令和元年東日本台風 で は 、 10 月 10日 から 13 日 まで の 総降水量 は 多い	ところ	で 1,000 ミリ を 超え た 。	location	0	0	0	0	0	0	0
105	94_whitepaper_R2_bousai_1	他方 で 、 平成30年7月豪雨 （ 西日本豪雨 ） で は 、 6 月 28 日 から 7 月 8日 まで の 総降水量 は 多い	ところ	で 1,800 ミリ を 超え た 。	location	0	0	0	0	0	0	0
